alphabetic_country_rank,name,url,capital,languages,largest_religion,area_total,population,gdp_nominal_total,gdp_nominal_per_capita,currency,time_zone,observes_dst,calling_code,flag_path,anthem_path,duck_pop_rank,continent,alcohol_consumption,alcohol_consumption_ranked,Total_borders_km,Num_borders,Neighbors,flag_colours
56,Federated States of Micronesia,https://en.wikipedia.org/wiki/Federated_States_of_Micronesia,Palikir,English,v t e Religion in Oceania Sovereign states Australia Federated States of Micronesia Fiji Indonesia Kiribati Marshall Islands Nauru New Zealand Palau Papua New Guinea Samoa Solomon Islands Tonga Tuvalu Vanuatu Associated states of New Zealand Cook Islands Niue Dependencies and other territories American Samoa Christmas Island Cocos (Keeling) Islands Easter Island French Polynesia Guam Hawaii New Caledonia Norfolk Island Northern Mariana Islands Pitcairn Islands Tokelau Wallis and Futuna,702 km²,"100,000",,,(USD),UTC +10 and +11,0,+691,countries/Federated_States_of_Micronesia_flag.png,countries/Federated_States_of_Micronesia_anthem.ogg,,,,,0,0.0,,
57,Fiji,https://en.wikipedia.org/wiki/Fiji,Suva,Fijian  English  Standard Hindi Fiji Hindi,64.4% Christianity 34.6% Methodism 29.8% other Christian 27.9% Hinduism 6.3% Islam 1.4% others / none,"18,274 km²","900,000",,,(FJD),UTC +12,0,+679,countries/Fiji_flag.png,countries/Fiji_anthem.ogg,50.0,Oceania,1.82,92.0,0,0.0,,"Dark Blue, Gold, Light Blue, Red, White"
58,Finland,https://en.wikipedia.org/wiki/Finland,Helsinki,Sámi Karelian Finnish Kalo Finnish Sign Language Finland-Swedish Sign Language,64.2% Christianity 62.2% Lutheranism 1.0% Eastern Orthodoxy 1.0% other Christian 34.9% no religion 2.0% other,"338,455 km²",5.6 million,,,€ (EUR),UTC +2,1,+358,countries/Finland_flag.png,countries/Finland_anthem.ogg,,Europe,8.26,36.0,"2,690",3.0,"Norway: 736 km (457 mi); Sweden (2): 614 km (382 mi); Russia: 1,340 km (830 mi)","White, Blue"
59,France,https://en.wikipedia.org/wiki/France,Paris,French,50% Christianity 33% irreligion 4% Islam 4% other religions,"632,702.3 km²",69.1 million,,,€ (EUR) (XPF),UTC +1,1,+33,countries/France_flag.png,countries/France_anthem.ogg,6.0,Europe,13.74,6.0,"2,889",8.0,Andorra: 56.6 km (35.2 mi); Belgium: 620 km (390 mi); Germany: 451 km (280 mi); Italy: 488 km (303 mi); Luxembourg: 73 km (45 mi); Monaco: 4.4 km (2.7 mi); Spain (3): 623 km (387 mi); Switzerland: 573 km (356 mi),"Blue, Red, White"
60,Gabon,https://en.wikipedia.org/wiki/Gabon,Libreville,French,80.2% Christianity 10.8% Islam 7.0% no religion 1.1% traditional faiths 0.9% others,"267,668 km²",2.4 million,,,(XAF),UTC +1,0,+241,countries/Gabon_flag.png,countries/Gabon_anthem.ogg,,Africa,6.76,50.0,"2,551",3.0,"Cameroon: 298 km (185 mi); Republic of the Congo: 1,903 km (1,182 mi); Equatorial Guinea: 350 km (220 mi)","Green, Blue, Yellow"
61,Georgia (country),https://en.wikipedia.org/wiki/Georgia_(country),Tbilisi,Georgian,87.3% Christianity 83.4% Georgian Orthodoxy 3.9% other Christian 10.7% Islam 2% other / none,"69,700 km²",3.7 million,,,₾ (GEL),UTC +4,0,+995,countries/Georgia_(country)_flag.png,countries/Georgia_(country)_anthem.ogg,,,,,,,,"Red, White"
62,Germany,https://en.wikipedia.org/wiki/Germany,Berlin,German,Christianity,"357,022 km²",83.5 million,,,€ (EUR),UTC +1,1,+49,countries/Germany_flag.png,countries/Germany_anthem.ogg,,Europe,11.67,14.0,"3,621",9.0,Austria: 784 km (487 mi); Belgium (6): 167 km (104 mi); Czech Republic: 815 km (506 mi); Denmark: 68 km (42 mi); France: 451 km (280 mi); Luxembourg: 138 km (86 mi); Netherlands: 577 km (359 mi); Poland: 456 km (283 mi); Switzerland (2): 334 km (208 mi),"Black, Gold, Red"
63,Ghana,https://en.wikipedia.org/wiki/Ghana,Accra,English,Christianity Methodist Presbyterian Catholicism Islam Ahmadiyya Hinduism,"240,000 km²",35 million,,,(GHS),UTC ±0,0,+233,countries/Ghana_flag.png,countries/Ghana_anthem.mp3,,Africa,0.41,135.0,"2,094",3.0,Burkina Faso: 549 km (341 mi); Côte d'Ivoire: 668 km (415 mi); Togo: 877 km (545 mi),"Red, Black, Green, Yellow"
64,Greece,https://en.wikipedia.org/wiki/Greece,Athens,Greek,"Ancient religion ( Origins , Modern Revival ) Aerico Atheism Buddhism Catholicism Drosoulites Eastern Orthodox Church (Timeline: Antiquity , Early Middle Ages , Late Middle Ages , Early Modern Era , 19th century , Early 20th century , Late 20th century , Contemporary ) Fairy tales Gello Greek Orthodox Church ( Ecumenical Patriarchate of Constantinople , Church of Greece , Flag ) Greek Old Calendarists Hinduism Hypertimos Islam Judaism ( History ) Kallikantzaros Lamia Mormo Mount Athos Mythology ( Primordial deities , Titans , Twelve Olympians , Heracles , Odysseus , Jason , Oedipus , Perseus , Daedalus , Orpheus , Theseus , Bellerephon , Satyr , Centaur ) Nymph Protestantism Psychai Sikhism Thymiaterion Name days Vrykolakas Wayside shrine","131,957 km²",10.4 million,,,€ (EUR),UTC +2,1,+30,countries/Greece_flag.png,countries/Greece_anthem.oga,,Europe,10.41,20.0,"1,228",4.0,Albania: 282 km (175 mi); Bulgaria: 494 km (307 mi); Turkey: 206 km (128 mi); North Macedonia: 246 km (153 mi),"Blue, White"
65,Grenada,https://en.wikipedia.org/wiki/Grenada,St. George's,English,96.6% Christianity 48.8% Protestantism 39.2% Catholicism 8.6% other Christian 1.3% Hinduism 1.0% no religion 0.7% Rastafari 0.4% other,344 km²,"100,000",,,(XCD),UTC -4,0,+1,countries/Grenada_flag.png,countries/Grenada_anthem.ogg,,North America,0.0,179.0,0,0.0,,"Green, Red, Yellow"
66,Guatemala,https://en.wikipedia.org/wiki/Guatemala,Guatemala City,Mayan,88.1% Christianity 45.7% Protestantism 42.4% Catholicism 11% no religion 0.9% other,"108,889 km²",18.3 million,,,(GTQ),UTC -6,0,+502,countries/Guatemala_flag.png,countries/Guatemala_anthem.oga,,North America,1.99,90.0,"1,687",4.0,Belize: 266 km (165 mi); El Salvador: 203 km (126 mi); Honduras: 256 km (159 mi); Mexico: 962 km (598 mi),"Blue, White"
67,Guinea,https://en.wikipedia.org/wiki/Guinea,Conakry,French,85.2% Islam 13.4% Christianity 0.2% animism 1.2% none,"245,857 km²",14 million,,,(GNF),UTC ±0,0,+224,countries/Guinea_flag.png,countries/Guinea_anthem.oga,,Africa,0.17,145.0,"3,399",6.0,Côte d'Ivoire: 610 km (380 mi); Guinea-Bissau: 386 km (240 mi); Liberia: 563 km (350 mi); Mali: 858 km (533 mi); Senegal: 330 km (210 mi); Sierra Leone: 652 km (405 mi),"Red, Green, Yellow"
68,Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau,Bissau,Portuguese,46.1% Islam 30.6% Traditional 18.9% Christianity 3% No religion 1% others,"36,125 km²",2.1 million,,,(XOF),UTC ±0,0,+245,countries/Guinea-Bissau_flag.png,countries/Guinea-Bissau_anthem.ogg,,Africa,1.59,97.0,724,2.0,Guinea: 386 km (240 mi); Senegal: 338 km (210 mi),"Red, Black, Green, Yellow"
69,Guyana,https://en.wikipedia.org/wiki/Guyana,Georgetown,English,55.5% Christianity 31.0% Hinduism 9.5% Islam 4.2% no religion 3.3% others,"214,969 km²","1,000,000",,,(GYD),UTC -4,0,+592,countries/Guyana_flag.png,countries/Guyana_anthem.ogg,,South America,14.03,5.0,"2,462",3.0,"Brazil: 1,119 km (695 mi); Suriname: 600 km (370 mi); Venezuela: 743 km (462 mi)","Black, Green, Red, White, Yellow"
70,Haiti,https://en.wikipedia.org/wiki/Haiti,Port-au-Prince,Haitian Creole French,87.0% Christianity 10.7% no religion 2.1% Haitian Vodou 0.2% other,"27,700 km²",11.5 million,,,(G) (HTG),UTC -5,1,+509,countries/Haiti_flag.png,countries/Haiti_anthem.ogg,43.0,North America,6.55,51.0,360,1.0,Dominican Republic: 360 km (220 mi),"Blue, Red"
71,Honduras,https://en.wikipedia.org/wiki/Honduras,Tegucigalpa,Spanish,Christianity,"112,492 km²",9.6 million,,,(HNL),UTC -6,0,+504,countries/Honduras_flag.png,countries/Honduras_anthem.ogg,,North America,2.41,84.0,"1,520",3.0,Guatemala: 256 km (159 mi); El Salvador: 342 km (213 mi); Nicaragua: 922 km (573 mi),"Blue, White"
72,Hungary,https://en.wikipedia.org/wiki/Hungary,Budapest,Hungarian,42.5% Christianity 27.5% Catholicism 15% other Christian 40.1% no answer 16.1% irreligion 1.3% others,"93,030 km²",9.6 million,,,(HUF),UTC +1,1,+36,countries/Hungary_flag.png,countries/Hungary_anthem.ogg,21.0,Europe,12.85,9.0,"2,171",7.0,Austria: 366 km (227 mi); Croatia: 329 km (204 mi); Romania: 443 km (275 mi); Serbia: 151 km (94 mi); Slovakia: 677 km (421 mi); Slovenia: 102 km (63 mi); Ukraine: 103 km (64 mi),"Red, Green, White"
73,Iceland,https://en.wikipedia.org/wiki/Iceland,Reykjavík,Icelandic,72.4% Christianity 60.9% Church of Iceland ( official )  11.5% other Christian 25.2% no religion 1.5% Ásatrúarfélagið 0.9% other,"103,125 km²","400,000",,,(ISK),UTC ±0,0,+354,countries/Iceland_flag.png,countries/Iceland_anthem.mp3,,Europe,4.88,65.0,0,0.0,,"Blue, Red, White"
74,India,https://en.wikipedia.org/wiki/India,New Delhi,Hindi English,Dharmic Buddhism Hinduism Jainism Sikhism Islam Religious persecution Bangladesh India Pakistan,"3,287,263 km²",1428.6 million,,,,UTC +5:30,0,+91,countries/India_flag.png,countries/India_anthem.ogg,5.0,Asia,0.99,114.0,"14,209",6.0,"Bangladesh (2): 4,053 km (2,518 mi); Bhutan: 605 km (376 mi); People's Republic of China (3): 3,488 km (2,167 mi); Myanmar: 1,463 km (909 mi); Nepal: 1,690 km (1,050 mi); Pakistan: 3,320 km (2,060 mi)","Blue, Green, Saffron Orange, White"
75,Indonesia,https://en.wikipedia.org/wiki/Indonesia,Jakarta,Indonesian,Islam Christianity Catholicism Protestantism Hinduism Buddhism Confucianism Judaism Sikhism,"1,904,569 km²",288,,,(Rp) (IDR),"UTC +7, +8, +9",0,+62,countries/Indonesia_flag.png,countries/Indonesia_anthem.ogg,4.0,Asia,0.13,148.0,"2,830",3.0,"East Timor (2): 228 km (142 mi); Malaysia: 1,782 km (1,107 mi); Papua New Guinea: 820 km (510 mi)","Red, White"
76,Iran,https://en.wikipedia.org/wiki/Iran,Tehran,Persian,Islam Baháʼí Faith ( persecution ) Christianity Zoroastrians ( persecution ) Freedom of religion,"1,648,195 km²",92.4 million,,,ریال (IRR),UTC +3:30,0,+98,countries/Iran_flag.png,countries/Iran_anthem.oga,30.0,Asia,0.0,177.0,"5,440",7.0,"Afghanistan: 936 km (582 mi); Armenia: 35 km (22 mi); Azerbaijan (2): 611 km (380 mi); Iraq: 1,458 km (906 mi); Pakistan: 959 km (596 mi); Turkey: 499 km (310 mi); Turkmenistan: 992 km (616 mi)","Green, Red, White"
77,Iraq,https://en.wikipedia.org/wiki/Iraq,Baghdad,Arabic Kurdish,"90–95% Islam ( official ) 61% Shia 35% Sunni 5–10% Christianity , Mandaeism , Yazidism , Judaism , Yarsanism , irreligion and others","438,317 km²",46.1 million,,,(IQD),UTC +3,0,+964,countries/Iraq_flag.png,countries/Iraq_anthem.ogg,,Asia,0.61,125.0,"3,650",6.0,"Iran: 1,458 km (906 mi); Jordan: 181 km (112 mi); Kuwait: 240 km (150 mi); Saudi Arabia: 814 km (506 mi); Syria: 605 km (376 mi); Turkey: 352 km (219 mi)","Red, Black, Green, White"
78,Israel,https://en.wikipedia.org/wiki/Israel,Jerusalem ( limited recognition ),Hebrew,73.7% Judaism 18.3% Islam 1.9% Christianity 1.6% Druze faith 4.5% others,"20,770 km²",10.1 million,,,₪ (ILS),UTC +2,1,+972,countries/Israel_flag.png,countries/Israel_anthem.ogg,47.0,Asia,1.75,94.0,"1,017",5.0,Egypt: 266 km (165 mi); Gaza Strip (State of Palestine): 51 km (32 mi); Jordan: 238 km (148 mi); Lebanon: 79 km (49 mi); Syria: 76 km (47 mi); West Bank (state of Palestine): 307 km (191 mi),"Blue, White"
79,Italy,https://en.wikipedia.org/wiki/Italy,Rome,Italian a,84% Christianity 12% irreligion 4% other,"301,340 km²",58.9 million,,,€ (EUR),UTC +1,1,+39 c,countries/Italy_flag.png,countries/Italy_anthem.ogg,,Europe,9.62,24.0,"1,932",6.0,Austria: 430 km (270 mi); France: 488 km (303 mi); San Marino: 39 km (24 mi); Slovenia: 232 km (144 mi); Switzerland (2): 740 km (460 mi); Vatican City: 3.2 km (2.0 mi),"Green, Red, White"
80,Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast,Yamoussoukro,French,42.5% Islam 39.8% Christianity  12.6% no religion 2.2% traditional faiths 2.2% unanswered 0.7% other religions,"322,462 km²",31.5 million,,,(XOF),UTC ±0,0,+225,countries/Ivory_Coast_flag.png,countries/Ivory_Coast_anthem.ogg,,Africa,1.43,102.0,,,,
81,Jamaica,https://en.wikipedia.org/wiki/Jamaica,Kingston,English,68.9% Christianity 64.8% Protestantism 4.1% other Christian 21.3% no religion 1.1% Rastafari 6.5% other 2.3% unanswered,"10,991 km²",2.8 million,,,(JMD),UTC -5,0,+1,countries/Jamaica_flag.png,countries/Jamaica_anthem.mp3,,North America,3.9,73.0,0,0.0,,"Green, Black, Gold"
82,Japan,https://en.wikipedia.org/wiki/Japan,Tokyo,Japanese,Shinto,"377,975 km²",123 million,,,¥,UTC +9,0,+81,countries/Japan_flag.png,countries/Japan_anthem.ogg,,Asia,7.85,43.0,0,0.0,,"Red, White"
83,Jordan,https://en.wikipedia.org/wiki/Jordan,Amman,Arabic,"95% Islam ( official ) 3% Christianity 1% Druze , Baháʼí 1% others","89,342 km²",11.5 million,,,(JOD),UTC +3,0,+962,countries/Jordan_flag.png,countries/Jordan_anthem.ogg,,Asia,0.0,175.0,"1,635",5.0,Iraq: 181 km (112 mi); Israel: 238 km (148 mi); Saudi Arabia: 744 km (462 mi); Syria: 375 km (233 mi); West Bank (State of Palestine): 97 km (60 mi),"Black, Green, Red, White"
84,Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan,Astana,Kazakh  Russian,69.3% Islam 17.2% Christianity 2.3% no religion 0.2% other 11.0% unanswered,"2,724,900 km²",20.5 million,,,₸ (KZT),UTC +5,0,+7,countries/Kazakhstan_flag.png,countries/Kazakhstan_anthem.mp3,,Asia,7.71,45.0,"12,012",5.0,"People's Republic of China: 1,533 km (953 mi); Kyrgyzstan: 1,051 km (653 mi); Russia: 6,846 km (4,254 mi); Turkmenistan: 379 km (235 mi); Uzbekistan: 2,203 km (1,369 mi)","Blue, Yellow"
85,Kenya,https://en.wikipedia.org/wiki/Kenya,Nairobi,Swahili,Catholicism Anglicanism African Inland Church Quakers Judaism,"580,367 km²",53.3 million,,,(KES),UTC +3,0,+254,countries/Kenya_flag.png,countries/Kenya_anthem.ogg,,Africa,1.66,95.0,"3,477",5.0,Ethiopia: 861 km (535 mi); Somalia: 682 km (424 mi); South Sudan: 232 km (144 mi); Tanzania: 769 km (478 mi); Uganda: 933 km (580 mi),"Black, Green, Red, White"
86,Kiribati,https://en.wikipedia.org/wiki/Kiribati,Tarawa,English Gilbertese,96.2% Christianity 58.9% Catholic Church 21.2% Uniting Church 16.1% other Christian 2.1% Bahá'í Faith 1.7% other / none,811.19 km²,"100,000",,,$ (AUD),"UTC +12 , +13 , +14",0,+686,countries/Kiribati_flag.png,countries/Kiribati_anthem.oga,,Oceania,0.0,172.0,0,0.0,,"Red, Blue, Gold, White"
87,Kosovo,https://en.wikipedia.org/wiki/Kosovo,Pristina a,Albanian Serbian,93.5% Islam 4.1% Christianity 2.3% Orthodox 1.8% Catholic 0.5% No religion 0.5% others 1.5% undeclared,"10,887 km²",1.6 million,,,€ (EUR),UTC +1,1,+383,countries/Kosovo_flag.png,countries/Kosovo_anthem.ogg,,,,,701,4.0,Albania: 112 km (70 mi); Montenegro: 79 km (49 mi); North Macedonia: 159 km (99 mi); Serbia: 352 km (219 mi),
88,Kuwait,https://en.wikipedia.org/wiki/Kuwait,Kuwait City,Arabic,74.6% Islam ( official ) 18.2% Christianity 7.2% other,"17,818 km²",5 million,,,(KWD),UTC +3,0,+965,countries/Kuwait_flag.png,countries/Kuwait_anthem.ogg,,Asia,0.0,171.0,462,2.0,Iraq: 240 km (150 mi); Saudi Arabia: 222 km (138 mi),"Green, Black, Red, White"
89,Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan,Bishkek,Kyrgyz (state) Russian (official),91% Islam 8% Christianity 1% Others,"200,105 km²",7.4 million,,,(c) (KGS),UTC +6,0,+996,countries/Kyrgyzstan_flag.png,countries/Kyrgyzstan_anthem.mp3,53.0,Asia,2.2,87.0,"3,878",4.0,"People's Republic of China: 858 km (533 mi); Kazakhstan: 1,051 km (653 mi); Tajikistan (3): 870 km (540 mi); Uzbekistan (6): 1,099 km (683 mi)","Red, Yellow"
90,Laos,https://en.wikipedia.org/wiki/Laos,Vientiane,Lao,66.0% Buddhism  30.7% Tai folk religion 1.5% Christianity 1.8% other / none,"236,800 km²",8 million,,,₭ (LAK),UTC +7,0,+856,countries/Laos_flag.png,countries/Laos_anthem.mp3,23.0,Asia,4.12,71.0,"5,083",5.0,"Cambodia: 541 km (336 mi); People's Republic of China: 423 km (263 mi); Myanmar: 235 km (146 mi); Thailand: 1,754 km (1,090 mi); Vietnam: 2,130 km (1,320 mi)","Red, Blue, White"
91,Latvia,https://en.wikipedia.org/wiki/Latvia,Riga,Latvian a,64% Christianity 36% Lutheranism 17% Catholicism 9% Orthodoxy 2% other Christian 35% no religion 1% others,"64,589 km²",1.8 million,,,€ (EUR),UTC +2,1,+371,countries/Latvia_flag.png,countries/Latvia_anthem.mp3,,Europe,8.7,32.0,"1,150",4.0,Belarus: 141 km (88 mi); Estonia: 339 km (211 mi); Lithuania: 453 km (281 mi); Russia: 217 km (135 mi),"Red, White"
92,Lebanon,https://en.wikipedia.org/wiki/Lebanon,Beirut,Arabic,53.31% Islam 26.84% Shia 0.64% Alawite 26.55% Sunni 41.40% Christianity 28.11% Catholic 8.30% Orthodox 2.92% Armenian Apostolic 0.53% Protestant 1.64% Other Christians 5.21% Druze 0.08% No religion,"10,452 km²",5.4 million,,,(LBP),UTC +2,1,+961,countries/Lebanon_flag.png,countries/Lebanon_anthem.ogg,,Asia,5.43,61.0,454,2.0,Israel: 79 km (49 mi); Syria: 375 km (233 mi),"Red, Green, White"
93,Lesotho,https://en.wikipedia.org/wiki/Lesotho,Maseru,Sesotho English,92.1% Christianity 6.6% traditional faiths 1.0% no religion 0.3% others,"30,355 km²",2.2 million,,,(LSL) (ZAR),UTC +2,0,+266,countries/Lesotho_flag.png,countries/Lesotho_anthem.ogg,,Africa,1.12,110.0,909,1.0,South Africa: 909 km (565 mi),"Blue, Black, Green, White"
94,Liberia,https://en.wikipedia.org/wiki/Liberia,Monrovia,English,85.1% Christianity 76.3% Protestantism 7.2% Catholicism 1.6% other Christians 12.2% Islam 1.4% no religion 1.3% other,"111,370 km²",5.4 million,,,(USD) (LRD),UTC ±0,0,+231,countries/Liberia_flag.png,countries/Liberia_anthem.ogg,42.0,Africa,5.68,59.0,"1,585",3.0,Guinea: 563 km (350 mi); Côte d'Ivoire: 716 km (445 mi); Sierra Leone: 306 km (190 mi),"Red, Blue, White"
95,Libya,https://en.wikipedia.org/wiki/Libya,Tripoli,Arabic,96.6% Islam ( official ) 2.7% Christianity 0.7% others,"1,759,541 km²",7.4 million,,,(LYD),UTC +2,0,+218,countries/Libya_flag.png,countries/Libya_anthem.ogg,,Africa,0.0,170.0,"4,348",6.0,"Algeria: 982 km (610 mi); Chad: 1,055 km (656 mi); Egypt: 1,115 km (693 mi); Niger: 354 km (220 mi); Sudan: 383 km (238 mi); Tunisia: 459 km (285 mi)","Red, Black, Green, White"
96,Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein,Vaduz,German,79.4 % Christianity 69.6 % Catholicism ( official ) 9.8 % other Christian 9.6 % no religion 6.0 % Islam 5.0 % other,160.5 km²,"41,000",,,(CHF),UTC +1,1,+423,countries/Liechtenstein_flag.png,countries/Liechtenstein_anthem.mp3,,Europe,,,76,2.0,Austria: 34 km (21 mi); Switzerland: 41 km (25 mi),"Blue, Red"
97,Lithuania,https://en.wikipedia.org/wiki/Lithuania,Vilnius,Lithuanian,79.4% Christianity 74.2% Catholicism 5.2% other Christian 6.1% no religion 0.8% others 13.7% no answer,"65,300 km²",2.9 million,,,€ (EUR),UTC +2,1,+370,countries/Lithuania_flag.png,countries/Lithuania_anthem.oga,,Europe,6.23,53.0,"1,273",4.0,Belarus: 502 km (312 mi); Latvia: 453 km (281 mi); Poland: 91 km (57 mi); Russia: 227 km (141 mi),"Yellow, Green, Red"
98,Luxembourg,https://en.wikipedia.org/wiki/Luxembourg,Luxembourg,National language: Luxembourgish Administrative languages: Luxembourgish German French,53% Christianity 46% Catholicism 7% other Christian 38% no religion 9% other,"2,586.4 km²","700,000",,,€ (EUR),UTC +1,0,+352,countries/Luxembourg_flag.png,countries/Luxembourg_anthem.mp3,,Europe,14.35,4.0,359,3.0,Belgium: 148 km (92 mi); France: 73 km (45 mi); Germany: 138 km (86 mi),"Red, Light Blue, White"
99,Madagascar,https://en.wikipedia.org/wiki/Madagascar,Antananarivo,Malagasy French,84.7% Christianity 45.8% Protestantism 38.1% Catholicism 0.8% other Christian 7.3% no religion 4.7% traditional faiths 3.1% Islam 0.3% others,"592,796 km²",32 million,,,(MGA),UTC +3,0,+261,countries/Madagascar_flag.png,countries/Madagascar_anthem.ogg,20.0,Africa,1.25,105.0,0,0.0,,"Red, Green, White"
100,Malawi,https://en.wikipedia.org/wiki/Malawi,Lilongwe,( none at national level),Gender and religion Gender in Bible translation God and gender in Hinduism,"118,484 km²",21.2 million,,,(D) (MWK),UTC +2,0,+265,countries/Malawi_flag.png,countries/Malawi_anthem.mp3,,Africa,0.42,134.0,"2,881",3.0,"Mozambique: 1,569 km (975 mi); Tanzania: 475 km (295 mi); Zambia: 837 km (520 mi)","Black, Green, Red"
101,Malaysia,https://en.wikipedia.org/wiki/Malaysia,Kuala Lumpur,Malay,63.5% Islam ( official )  18.7% Buddhism 9.1% Christianity 6.1% Hinduism 0.9% other 1.8% unknown,"330,803 km²",34.6 million,,,(RM) (MYR),UTC +8,0,+60,countries/Malaysia_flag.png,countries/Malaysia_anthem.ogg,12.0,Asia,0.87,118.0,"3,147",3.0,"Brunei (2): 381 km (237 mi); Indonesia: 1,782 km (1,107 mi); Thailand: 506 km (314 mi)","Red, Dark Blue, White, Yellow"
102,Maldives,https://en.wikipedia.org/wiki/Maldives,Malé,Dhivehi,Dharmic Buddhism Hinduism Jainism Sikhism Islam Religious persecution Bangladesh India Pakistan,298 km²,"600,000",,,(MVR),UTC +5,0,+960,countries/Maldives_flag.png,countries/Maldives_anthem.ogg,,Asia,2.08,89.0,0,0.0,,"Red, White"
103,Mali,https://en.wikipedia.org/wiki/Mali,,"13 national languages   Bambara Bobo Hassaniya Arabic Bozo Dogon, Toro So Fula Kassonke Maninke Minyanka Senufo, Senara Songhay, Koyraboro Senni Soninke Tamasheq",95% Islam 5% other,"1,240,192 km²",22 million,,,(XOF),UTC ±0,0,+223,countries/Mali_flag.png,countries/Mali_anthem.mp3,,Africa,0.0,165.0,"7,243",7.0,"Algeria: 1,376 km (855 mi); Burkina Faso: 1,000 km (620 mi); Côte d'Ivoire: 532 km (331 mi); Guinea: 858 km (533 mi); Mauritania: 2,237 km (1,390 mi); Niger: 821 km (510 mi); Senegal: 419 km (260 mi)","Green, Red, Yellow"
104,Malta,https://en.wikipedia.org/wiki/Malta,Valletta,Maltese English  Maltese Sign Language,88.5% Christianity 82.6% Catholicism ( official ) 5.9% other Christian 5.1% no religion 3.9% Islam 1.4% Hinduism 1.1% other,316 km²,"500,000",,,€ (EUR),UTC +1,1,+356,countries/Malta_flag.png,countries/Malta_anthem.ogg,,Europe,6.91,48.0,0,0.0,,"Red, White"
105,Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands,Majuro,Marshallese English,v t e Religion in Oceania Sovereign states Australia Federated States of Micronesia Fiji Indonesia Kiribati Marshall Islands Nauru New Zealand Palau Papua New Guinea Samoa Solomon Islands Tonga Tuvalu Vanuatu Associated states of New Zealand Cook Islands Niue Dependencies and other territories American Samoa Christmas Island Cocos (Keeling) Islands Easter Island French Polynesia Guam Hawaii New Caledonia Norfolk Island Northern Mariana Islands Pitcairn Islands Tokelau Wallis and Futuna,181.43 km²,"42,000",,,,UTC +12,1,+692,countries/Marshall_Islands_flag.png,countries/Marshall_Islands_anthem.ogg,,Oceania,,,0,0.0,,"Blue, Orange, White"
106,Mauritania,https://en.wikipedia.org/wiki/Mauritania,Nouakchott,Arabic Pulaar Soninke Wolof,Sunni Islam ( official ),"1,030,000 km²",5.5 million,,,(MRU),UTC ±0,0,+222,countries/Mauritania_flag.png,countries/Mauritania_anthem.ogg,,Africa,0.0,187.0,"5,074",4.0,"Algeria: 463 km (288 mi); Mali: 2,237 km (1,390 mi); Senegal: 813 km (505 mi); Western Sahara: 1,561 km (970 mi)","Green, Red, Yellow"
107,Mauritius,https://en.wikipedia.org/wiki/Mauritius,Port Louis,None ( de jure ) English French ( de facto ),47.9% Hinduism 32.3% Christianity 18.2% Islam 1.6% others / none,"2,040 km²",1.2 million,,,(MUR),UTC +4,0,+230,countries/Mauritius_flag.png,countries/Mauritius_anthem.ogg,59.0,Africa,4.33,69.0,0,0.0,,"Red, Blue, Green, Yellow"
108,Mexico,https://en.wikipedia.org/wiki/Mexico,Mexico City,68 Indigenous languages,88.9% Christianity 77.7% Catholicism 11.2% Protestantism 8.1% Irreligion 2.4% other religion 0.5% prefer not to say,"1,972,550 km²",131.9 million,,,(MXN),UTC -8 to -5,1,+52,countries/Mexico_flag.png,countries/Mexico_anthem.ogg,,North America,5.04,63.0,"4,353",3.0,"Belize: 250 km (160 mi); Guatemala: 962 km (598 mi); United States: 3,141 km (1,952 mi)","Green, Red, White"
109,Moldova,https://en.wikipedia.org/wiki/Moldova,Chișinău,Romanian,97.4% Christianity 94.3% Eastern Orthodoxy 3.1% other Christian 0.3% other 1.5% no religion 0.8% unanswered,"33,843 km²",2.4 million,,,(MDL),UTC +2,1,+373,countries/Moldova_flag.png,countries/Moldova_anthem.mp3,,Europe,8.62,34.0,"1,389",2.0,Romania: 450 km (280 mi); Ukraine: 939 km (583 mi),"Blue, Gold, Red, Yellow"
110,Monaco,https://en.wikipedia.org/wiki/Monaco,Monaco ( city-state ),French  ( Meridional ),86.0% Christianity 80.9% Catholicism ( official )  5.1% other Christian 11.7% no religion 1.7% Judaism 0.4% Islam 0.2% other,2.084 km²,"38,000",,,€ (EUR),UTC +1,1,+377,countries/Monaco_flag.png,countries/Monaco_anthem.mp3,,Europe,,,4.4,1.0,France: 4.4 km (2.7 mi),"Red, White"
111,Mongolia,https://en.wikipedia.org/wiki/Mongolia,Ulaanbaatar,Mongolian ( Buriat Khalkha Oirat ),51.7% Buddhism 40.6% No religion 3.2% Islam 2.5% Shamanism 1.3% Christianity 0.7% other,"1,564,116 km²",3.5 million,,,(MNT),UTC +7/+8,0,+976,countries/Mongolia_flag.png,countries/Mongolia_anthem.ogg,,Asia,1.95,91.0,"8,220",2.0,"People's Republic of China: 4,677 km (2,906 mi); Russia: 3,485 km (2,165 mi)","Blue, Red, Yellow"
